degree,C,coef0,accuracy,recall,precision,f1_score,average_precision_score
3,5.0,0,0.9937716262975779,0.9858323620547517,0.9909826763962307,0.9883859974691209,0.9655285478851362
3,100.0,0,0.9937716262975779,0.9858323620547517,0.9909826763962307,0.9883859974691209,0.9655285478851362
2,5.0,0,0.9930795847750865,0.9836771896409586,0.9905451282273061,0.9870728216138844,0.9619109875721399
2,100.0,0,0.9930795847750865,0.9836771896409586,0.9905451282273061,0.9870728216138844,0.9619109875721399
4,100.0,0,0.9916955017301038,0.9776238735537425,0.9914407101907102,0.9843770272023527,0.9552732477372288
4,5.0,0,0.9916955017301038,0.9776238735537425,0.9914407101907102,0.9843770272023527,0.9552732477372288
4,0.1,0,0.9903114186851211,0.9733135287261563,0.990589526566632,0.981707934578966,0.9480373345544566
4,100.0,5,0.9903114186851211,0.978542442505046,0.9853374706280904,0.9819019502594382,0.9463561716455559
4,0.1,5,0.9903114186851211,0.978542442505046,0.9853374706280904,0.9819019502594382,0.9463561716455559
4,5.0,5,0.9903114186851211,0.978542442505046,0.9853374706280904,0.9819019502594382,0.9463561716455559
3,0.1,5,0.9896193771626297,0.9781302413508827,0.9831989054240404,0.9806433291152015,0.9422508100824853
3,5.0,5,0.9896193771626297,0.9781302413508827,0.9831989054240404,0.9806433291152015,0.9422508100824853
3,100.0,5,0.9896193771626297,0.9781302413508827,0.9831989054240404,0.9806433291152015,0.9422508100824853
2,5.0,10,0.9889273356401385,0.9777180401967194,0.9810789049919484,0.9793890897680024,0.9381811473156154
2,100.0,10,0.9889273356401385,0.9777180401967194,0.9810789049919484,0.9793890897680024,0.9381811473156154
2,5.0,5,0.9889273356401385,0.9794610114563493,0.9794610114563493,0.9794610114563493,0.9377598755806443
2,100.0,5,0.9889273356401385,0.9794610114563493,0.9794610114563493,0.9794610114563493,0.9377598755806443
3,0.1,10,0.9889273356401385,0.9794610114563493,0.9794610114563493,0.9794610114563493,0.9377598755806443
3,5.0,10,0.9889273356401385,0.9794610114563493,0.9794610114563493,0.9794610114563493,0.9377598755806443
3,100.0,10,0.9889273356401385,0.9794610114563493,0.9794610114563493,0.9794610114563493,0.9377598755806443
4,0.1,10,0.9882352941176471,0.9773058390425562,0.978977228153505,0.9781392025102763,0.9341467197242164
4,5.0,10,0.9882352941176471,0.9773058390425562,0.978977228153505,0.9781392025102763,0.9341467197242164
4,100.0,10,0.9882352941176471,0.9773058390425562,0.978977228153505,0.9781392025102763,0.9341467197242164
3,0.1,0,0.9868512110726644,0.9642806379168206,0.986625399450267,0.9750406594975041,0.9293532500943915
2,0.1,10,0.986159169550173,0.969097350541547,0.9791810347956761,0.9740540967593656,0.9237241870307152
2,0.1,5,0.9847750865051903,0.963044034454331,0.9799451945813352,0.9712553257669465,0.9169440529898709
2,0.1,0,0.9833910034602076,0.9517618045882252,0.9863616887787112,0.9680670040441095,0.9118579648936386
